name,cases,date,day,diff
Australia,383,2020-03-16,6,1.4618320610687023
Australia,383,2020-03-17,7,1
Australia,568,2020-03-18,8,1.483028720626632
Australia,710,2020-03-19,9,1.25
Australia,800,2020-03-20,10,1.1267605633802817
Australia,1056,2020-03-21,11,1.32
Australia,1490,2020-03-22,12,1.4109848484848484
Australia,1682,2020-03-23,13,1.1288590604026845
Australia,2044,2020-03-24,14,1.2152199762187872
Australia,2364,2020-03-25,15,1.1565557729941291
Australia,2810,2020-03-26,16,1.1886632825719121
Australia,3143,2020-03-27,17,1.1185053380782919
Australia,3640,2020-03-28,18,1.158129175946548
Austria,0,2020-02-06,-31,NA
Austria,0,2020-02-07,-30,NaN
Austria,0,2020-02-08,-29,NaN
Austria,0,2020-02-09,-28,NaN
Austria,0,2020-02-10,-27,NaN
Austria,0,2020-02-11,-26,NaN
Austria,0,2020-02-12,-25,NaN
Austria,0,2020-02-13,-24,NaN
Austria,0,2020-02-14,-23,NaN
Austria,0,2020-02-15,-22,NaN
Austria,0,2020-02-16,-21,NaN
Austria,0,2020-02-17,-20,NaN
Austria,0,2020-02-18,-19,NaN
Austria,0,2020-02-19,-18,NaN
Austria,0,2020-02-20,-17,NaN
Austria,0,2020-02-21,-16,NaN
Austria,0,2020-02-22,-15,NaN
Austria,0,2020-02-23,-14,NaN
Austria,0,2020-02-24,-13,NaN
Austria,2,2020-02-25,-12,Inf
Austria,2,2020-02-26,-11,1
Austria,3,2020-02-27,-10,1.5
Austria,6,2020-02-28,-9,2
Austria,9,2020-02-29,-8,1.5
Austria,14,2020-03-01,-7,1.5555555555555556
Austria,18,2020-03-02,-6,1.2857142857142858
Austria,18,2020-03-03,-5,1
Austria,29,2020-03-04,-4,1.6111111111111112
Austria,37,2020-03-05,-3,1.2758620689655173
Austria,55,2020-03-06,-2,1.4864864864864864
Austria,79,2020-03-07,-1,1.4363636363636363
Austria,104,2020-03-08,0,1.3164556962025316
Austria,112,2020-03-09,1,1.0769230769230769
Austria,182,2020-03-10,2,1.625
Austria,246,2020-03-11,3,1.3516483516483517
Austria,302,2020-03-12,4,1.2276422764227641
Austria,422,2020-03-13,5,1.3973509933774835
Austria,655,2020-03-14,6,1.552132701421801
Austria,800,2020-03-15,7,1.2213740458015268
Austria,959,2020-03-16,8,1.19875
Austria,1332,2020-03-17,9,1.388946819603754
Austria,1471,2020-03-18,10,1.1043543543543544
Austria,2013,2020-03-19,11,1.3684568320870156
Austria,2203,2020-03-20,12,1.0943864878291107
Austria,2666,2020-03-21,13,1.2101679527916478
Austria,3244,2020-03-22,14,1.2168042010502627
Austria,3924,2020-03-23,15,1.2096177558569667
Austria,4876,2020-03-24,16,1.2426095820591234
Austria,5560,2020-03-25,17,1.140278917145201
Austria,6398,2020-03-26,18,1.1507194244604317
Austria,6398,2020-03-27,19,1
Austria,8030,2020-03-28,20,1.255079712410128
Azerbaijan,0,2020-02-06,-50,NA
Azerbaijan,0,2020-02-07,-49,NaN
Azerbaijan,0,2020-02-08,-48,NaN
Azerbaijan,0,2020-02-09,-47,NaN
Azerbaijan,0,2020-02-10,-46,NaN
Azerbaijan,0,2020-02-11,-45,NaN
Azerbaijan,0,2020-02-12,-44,NaN
Azerbaijan,0,2020-02-13,-43,NaN
Azerbaijan,0,2020-02-14,-42,NaN
Azerbaijan,0,2020-02-15,-41,NaN
Azerbaijan,0,2020-02-16,-40,NaN
Azerbaijan,0,2020-02-17,-39,NaN
Azerbaijan,0,2020-02-18,-38,NaN
Azerbaijan,0,2020-02-19,-37,NaN
Azerbaijan,0,2020-02-20,-36,NaN
Azerbaijan,0,2020-02-21,-35,NaN
Azerbaijan,0,2020-02-22,-34,NaN
Azerbaijan,0,2020-02-23,-33,NaN
Azerbaijan,0,2020-02-24,-32,NaN
Azerbaijan,0,2020-02-25,-31,NaN
Azerbaijan,0,2020-02-26,-30,NaN
Azerbaijan,0,2020-02-27,-29,NaN
Azerbaijan,1,2020-02-28,-28,Inf
Azerbaijan,3,2020-02-29,-27,3
Azerbaijan,3,2020-03-01,-26,1
Azerbaijan,3,2020-03-02,-25,1
Azerbaijan,3,2020-03-03,-24,1
Azerbaijan,3,2020-03-04,-23,1
Azerbaijan,6,2020-03-05,-22,2
Azerbaijan,6,2020-03-06,-21,1
Azerbaijan,6,2020-03-07,-20,1
Azerbaijan,6,2020-03-08,-19,1
Azerbaijan,6,2020-03-09,-18,1
Azerbaijan,6,2020-03-10,-17,1
Azerbaijan,6,2020-03-11,-16,1
Azerbaijan,11,2020-03-12,-15,1.8333333333333333
Azerbaijan,11,2020-03-13,-14,1
Azerbaijan,11,2020-03-14,-13,1
Azerbaijan,19,2020-03-15,-12,1.7272727272727273
Azerbaijan,25,2020-03-16,-11,1.3157894736842106
Azerbaijan,28,2020-03-17,-10,1.12
Azerbaijan,30,2020-03-18,-9,1.0714285714285714
Azerbaijan,34,2020-03-19,-8,1.1333333333333333
Azerbaijan,44,2020-03-20,-7,1.2941176470588236
Azerbaijan,44,2020-03-21,-6,1
Azerbaijan,44,2020-03-22,-5,1
Azerbaijan,61,2020-03-23,-4,1.3863636363636365
Azerbaijan,87,2020-03-24,-3,1.4262295081967213
Azerbaijan,87,2020-03-25,-2,1
Azerbaijan,93,2020-03-26,-1,1.0689655172413792
Azerbaijan,122,2020-03-27,0,1.3118279569892473
Azerbaijan,182,2020-03-28,1,1.4918032786885247
Bahrain,0,2020-02-06,-32,NA
Bahrain,0,2020-02-07,-31,NaN
Bahrain,0,2020-02-08,-30,NaN
Bahrain,0,2020-02-09,-29,NaN
Bahrain,0,2020-02-10,-28,NaN
Bahrain,0,2020-02-11,-27,NaN
Bahrain,0,2020-02-12,-26,NaN
Bahrain,0,2020-02-13,-25,NaN
Bahrain,0,2020-02-14,-24,NaN
Bahrain,0,2020-02-15,-23,NaN
Bahrain,0,2020-02-16,-22,NaN
Bahrain,0,2020-02-17,-21,NaN
Bahrain,0,2020-02-18,-20,NaN
Bahrain,0,2020-02-19,-19,NaN
Bahrain,0,2020-02-20,-18,NaN
Bahrain,0,2020-02-21,-17,NaN
Bahrain,0,2020-02-22,-16,NaN
Bahrain,0,2020-02-23,-15,NaN
Bahrain,2,2020-02-24,-14,Inf
Bahrain,23,2020-02-25,-13,11.5
Bahrain,33,2020-02-26,-12,1.434782608695652
Bahrain,33,2020-02-27,-11,1
Bahrain,38,2020-02-28,-10,1.1515151515151516
Bahrain,41,2020-02-29,-9,1.0789473684210527
Bahrain,47,2020-03-01,-8,1.146341463414634
Bahrain,49,2020-03-02,-7,1.0425531914893618
Bahrain,49,2020-03-03,-6,1
Bahrain,49,2020-03-04,-5,1
Bahrain,49,2020-03-05,-4,1
Bahrain,49,2020-03-06,-3,1
Bahrain,62,2020-03-07,-2,1.2653061224489797
Bahrain,79,2020-03-08,-1,1.2741935483870968
Bahrain,109,2020-03-09,0,1.379746835443038
Bahrain,110,2020-03-10,1,1.0091743119266054
Bahrain,195,2020-03-11,2,1.7727272727272727
Bahrain,195,2020-03-12,3,1
Bahrain,197,2020-03-13,4,1.0102564102564102
Bahrain,197,2020-03-14,5,1
Bahrain,212,2020-03-15,6,1.0761421319796953
Bahrain,221,2020-03-16,7,1.0424528301886793
Bahrain,242,2020-03-17,8,1.0950226244343892
Bahrain,242,2020-03-18,9,1
Bahrain,279,2020-03-19,10,1.1528925619834711
Bahrain,279,2020-03-20,11,1
Bahrain,306,2020-03-21,12,1.096774193548387
Bahrain,334,2020-03-22,13,1.091503267973856
Bahrain,377,2020-03-23,14,1.1287425149700598
Bahrain,392,2020-03-24,15,1.039787798408488
Bahrain,419,2020-03-25,16,1.0688775510204083
Bahrain,457,2020-03-26,17,1.090692124105012
Bahrain,458,2020-03-27,18,1.0021881838074398
Bahrain,476,2020-03-28,19,1.039301310043668
Belarus,0,2020-02-06,-53,NA
Belarus,0,2020-02-07,-52,NaN
Belarus,0,2020-02-08,-51,NaN
Belarus,0,2020-02-09,-50,NaN
Belarus,0,2020-02-10,-49,NaN
Belarus,0,2020-02-11,-48,NaN
Belarus,0,2020-02-12,-47,NaN
Belarus,0,2020-02-13,-46,NaN
Belarus,0,2020-02-14,-45,NaN
Belarus,0,2020-02-15,-44,NaN
Belarus,0,2020-02-16,-43,NaN
Belarus,0,2020-02-17,-42,NaN
Belarus,0,2020-02-18,-41,NaN
Belarus,0,2020-02-19,-40,NaN
Belarus,0,2020-02-20,-39,NaN
Belarus,0,2020-02-21,-38,NaN
Belarus,0,2020-02-22,-37,NaN
Belarus,0,2020-02-23,-36,NaN
